Studio,City,ZIP Code,Latitude,Longitude,Studio Count
Kids Yoga At Rediscover,Los Angeles,90066,34.00215095,-118.4290397,19
Danzenyoga,Los Angeles,90066,34.00215095,-118.4290397,19
Yoga With Lois,Los Angeles,90066,34.00215095,-118.4290397,19
Mind Body & Spirit Healing,Los Angeles,90066,34.00215095,-118.4290397,19
EVERYBODY,Los Angeles,90065,34.10881215,-118.227666,8
Claire Thompson,Los Angeles,90065,34.10881215,-118.227666,8
Self Realization Fellowship,Los Angeles,90065,34.10881215,-118.227666,8
Healing With Chona,Los Angeles,90065,34.10881215,-118.227666,8
The Stillness,Los Angeles,90065,34.10881215,-118.227666,8
The Herb Nerd,Los Angeles,90065,34.10881215,-118.227666,8
Evolve Yoga Sacred Healing and Creative Arts,Los Angeles,90065,34.10881215,-118.227666,8
Seishin Karate Dojo,Los Angeles,90065,34.10881215,-118.227666,8
Yoga Shala West,Los Angeles,90064,34.03541197,-118.4321768,10
Pilates Essence,Los Angeles,90064,34.03541197,-118.4321768,10
Palms Park,Los Angeles,90064,34.03541197,-118.4321768,10
"Kim Hollingdale, LMFT - Movemental",Los Angeles,90064,34.03541197,-118.4321768,10
Re+active Physical Therapy & Wellness,Los Angeles,90064,34.03541197,-118.4321768,10
Satori Bay,Los Angeles,90064,34.03541197,-118.4321768,10
Daily Therapy,Los Angeles,90064,34.03541197,-118.4321768,10
Choose To Move LA,Los Angeles,90064,34.03541197,-118.4321768,10
Aunt Bessi's Creative Healing Center,Los Angeles,90064,34.03541197,-118.4321768,10
Namaste Jenay,Los Angeles,90064,34.03541197,-118.4321768,10
Laura VanDenBergh,Los Angeles,90057,34.06211203,-118.2771383,3
New Moon Movement,Los Angeles,90057,34.06211203,-118.2771383,3
Kali Punk Yoga,Los Angeles,90057,34.06211203,-118.2771383,3
Psycho,Los Angeles,90048,34.07316138,-118.3740667,11
Jun Chong Tae Kwon Do,Los Angeles,90048,34.07316138,-118.3740667,11
AIR Aerial Fitness,Los Angeles,90048,34.07316138,-118.3740667,11
SWERVE Studio,Los Angeles,90048,34.07316138,-118.3740667,11
Cuccio Yoga Somatology,Los Angeles,90048,34.07316138,-118.3740667,11
Oraya,Los Angeles,90048,34.07316138,-118.3740667,11
Brandi Fitness,Los Angeles,90048,34.07316138,-118.3740667,11
Hyperslow Studio,Los Angeles,90048,34.07316138,-118.3740667,11
Moved by Jane,Los Angeles,90048,34.07316138,-118.3740667,11
Pilates Training With Robert Hanson,Los Angeles,90048,34.07316138,-118.3740667,11
Yoga Daz,Los Angeles,90048,34.07316138,-118.3740667,11
The Tree South LA,Los Angeles,90047,33.95687165,-118.3090784,1
Moon Yogi Holistic Healing,Los Angeles,90046,34.09715015,-118.3582682,25
The Barboza Method,Los Angeles,90046,34.09715015,-118.3582682,25
Brick Los Angeles,Los Angeles,90046,34.09715015,-118.3582682,25
Runyon Canyon Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Black Market Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Yoga Vibe - West Hollywood,Los Angeles,90046,34.09715015,-118.3582682,25
Crunch Fitness - Los Angeles,Los Angeles,90046,34.09715015,-118.3582682,25
Nathalie Fino - Private Yoga Classes,Los Angeles,90046,34.09715015,-118.3582682,25
Y7 Studio West Hollywood,Los Angeles,90046,34.09715015,-118.3582682,25
Erin Haynes Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Devon Young Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Life Yoga Garden,Los Angeles,90046,34.09715015,-118.3582682,25
YogaWorks West Hollywood,Los Angeles,90046,34.09715015,-118.3582682,25
Stellayoga,Los Angeles,90046,34.09715015,-118.3582682,25
H.E.A.L. Spiritual Center,Los Angeles,90046,34.09715015,-118.3582682,25
Hollywood Fitness International,Los Angeles,90046,34.09715015,-118.3582682,25
Yoga with Juliette,Los Angeles,90046,34.09715015,-118.3582682,25
Metta Pilates,Los Angeles,90046,34.09715015,-118.3582682,25
Living Lighthouse,Los Angeles,90046,34.09715015,-118.3582682,25
Peaceful Pug: Yoga and Reiki by Jessica,Los Angeles,90046,34.09715015,-118.3582682,25
Michelle Mikolis Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Source of Yoga,Los Angeles,90046,34.09715015,-118.3582682,25
Ancien Wellness,Los Angeles,90046,34.09715015,-118.3582682,25
The Yoga Garage,Los Angeles,90046,34.09715015,-118.3582682,25
Skylark Yoga & Bodywork,Los Angeles,90046,34.09715015,-118.3582682,25
Yoga Bliss - Westchester,Los Angeles,90045,33.96152081,-118.3934497,6
LiveYoga Wellness,Los Angeles,90045,33.96152081,-118.3934497,6
HOMTOWN Yoga,Los Angeles,90045,33.96152081,-118.3934497,6
Malan's Yoga Garden,Los Angeles,90045,33.96152081,-118.3934497,6
Inner Way LA,Los Angeles,90045,33.96152081,-118.3934497,6
LA Fitness,Los Angeles,90045,33.96152081,-118.3934497,6
Crenshaw Yoga & Dance,Los Angeles,90043,33.98673053,-118.3329064,3
Thrive Health Lab,Los Angeles,90043,33.98673053,-118.3329064,3
Aaron J. Martin - Unify Yogic Arts,Los Angeles,90043,33.98673053,-118.3329064,3
Namaste Highland Park,Los Angeles,90042,34.11332226,-118.1914287,2
Golden State Yoga,Los Angeles,90042,34.11332226,-118.1914287,2
One Down Dog,Los Angeles,90041,34.13538186,-118.2068491,9
Mockingbird Yoga,Los Angeles,90041,34.13538186,-118.2068491,9
The Cycling Pigeon,Los Angeles,90041,34.13538186,-118.2068491,9
Madre Fitness + Wellness,Los Angeles,90041,34.13538186,-118.2068491,9
Pardon My Heart LA,Los Angeles,90041,34.13538186,-118.2068491,9
Marlee Jackson Acupuncture,Los Angeles,90041,34.13538186,-118.2068491,9
Caroline Cardino Yoga & Bodywork,Los Angeles,90041,34.13538186,-118.2068491,9
Sound Baths With Jamie Ford,Los Angeles,90041,34.13538186,-118.2068491,9
Body Synergy Physical Therapy & Wellness,Los Angeles,90041,34.13538186,-118.2068491,9
The Raven Spa,Los Angeles,90039,34.11160164,-118.2612573,16
Rise Hot Yoga,Los Angeles,90039,34.11160164,-118.2612573,16
Heartbeat House,Los Angeles,90039,34.11160164,-118.2612573,16
Silverlake Yoga,Los Angeles,90039,34.11160164,-118.2612573,16
Still Yoga,Los Angeles,90039,34.11160164,-118.2612573,16
Fitmix Studio Atwater Village,Los Angeles,90039,34.11160164,-118.2612573,16
Atwater Kundalini Yoga,Los Angeles,90039,34.11160164,-118.2612573,16
CHI - Create Heal Inspire,Los Angeles,90039,34.11160164,-118.2612573,16
Sol Integrative,Los Angeles,90039,34.11160164,-118.2612573,16
Lauren Finerman Holistic Wellness & Yoga,Los Angeles,90039,34.11160164,-118.2612573,16
Healing Rae,Los Angeles,90039,34.11160164,-118.2612573,16
