Studio,City,ZIP Code,Location
Spy Fitness,Beverly Hills,90211.0,"34.06566189900008, -118.38146619699995"
Body Synergy Physical Therapy & Wellness,Los Angeles,90041.0,"34.13538185700003, -118.20684911599994"
Malan's Yoga Garden,Los Angeles,90045.0,"33.961520807000056, -118.39344972199996"
Diana Paschal Yoga & Coaching,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
LA Fitness,Culver City,90232.0,"34.01970043100005, -118.39595678999996"
Metta Pilates,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
The Breath Center,Culver City,90230.0,"33.99506425000004, -118.39500957899998"
Giving Earth Healing Arts,Manhattan Beach,90266.0,"33.89004112200007, -118.40324770999996"
Beach Cities Birth,Hermosa Beach,90254.0,"33.86430130900004, -118.39718642699995"
La Doula Vita,Venice,90291.0,"33.99258325100004, -118.46637629399999"
Sacred Healing Sessions,Long Beach,90802.0,"33.76935424900006, -118.184528823"
Myyogini,Los Angeles,90017.0,"34.05230100700004, -118.26338632699998"
Ella Yoga,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
