Census Tract,Neighborhood,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
119310,Panorama City,34.246626,-118.45069699999999,4085.0,36.7,47049.0,19281.0,721.0,17.65,5.19
119320,Panorama City,34.239058,-118.45398200000001,4761.0,30.0,63375.0,19022.0,1014.0,21.3,5.4
119340,Panorama City,34.2336085,-118.45189950000001,4032.0,26.9,29891.0,11542.0,1760.0,43.65,5.33
119341,Panorama City,34.237627,-118.4453355,2877.0,38.1,47778.0,19380.0,420.0,14.6,5.01
119342,Panorama City,34.240834,-118.4468745,3092.0,31.1,52083.0,16298.0,531.0,17.17,6.05
119400,Arleta,34.2399345,-118.4355265,5426.0,35.8,81711.0,22921.0,523.0,9.64,4.05
119700,Panorama City,34.219334,-118.42661149999999,5076.0,38.8,79986.0,24248.0,468.0,9.22,2.38
119800,Arleta,34.233766499999994,-118.429943,6130.0,34.4,74906.0,22169.0,526.0,8.58,3.54
119900,Panorama City,34.227376,-118.441236,4998.0,36.6,74183.0,21938.0,479.0,9.58,3.7
120010,Panorama City,34.217501500000004,-118.46297450000002,2701.0,33.2,50500.0,19474.0,417.0,15.44,5.07
120020,Panorama City,34.2166115,-118.45414050000001,3853.0,34.7,32551.0,14592.0,1184.0,30.73,4.65
120030,Panorama City,34.2149315,-118.451986,2683.0,31.2,27162.0,12212.0,968.0,36.08,2.65
120103,Panorama City,34.229161,-118.4516205,3399.0,29.0,28073.0,10663.0,1588.0,46.72,6.33
120104,Panorama City,34.224796000000005,-118.44848449999999,2236.0,32.6,36375.0,17933.0,637.0,28.49,1.97
120105,Panorama City,34.2300875,-118.44444299999999,2872.0,36.8,32202.0,15587.0,795.0,27.68,4.77
120106,Panorama City,34.223101,-118.45670049999998,4663.0,26.6,31897.0,11780.0,1549.0,33.22,6.76
120107,Panorama City,34.2264195,-118.45665749999999,3703.0,26.3,27986.0,12868.0,1685.0,45.5,5.29
120108,Panorama City,34.231778999999996,-118.45639950000002,4754.0,33.6,36707.0,16526.0,1533.0,32.25,5.62
120300,Panorama City,34.214918,-118.43984099999999,5190.0,40.8,67241.0,22106.0,606.0,11.68,4.1
120400,Panorama City,34.2178505,-118.4330175,6664.0,36.0,51554.0,21242.0,871.0,13.07,5.82
121010,Sun Valley,34.224559,-118.40259099999999,4901.0,36.0,64135.0,23463.0,830.0,16.94,1.33
121020,Sun Valley,34.2110805,-118.402468,3617.0,32.0,50685.0,24826.0,563.0,15.57,4.48
121101,Sun Valley,34.225737,-118.3655,2900.0,34.1,50833.0,22216.0,533.0,18.38,4.45
121102,Sun Valley,34.2403885,-118.3845615,2724.0,42.3,46628.0,22621.0,432.0,15.86,1.06
121210,Pacoima,34.2400435,-118.404715,3066.0,39.0,62109.0,20244.0,294.0,9.59,3.0
121221,Sun Valley,34.227323,-118.396127,2402.0,35.3,60278.0,18265.0,267.0,11.12,3.58
121222,Sun Valley,34.2330185,-118.39190900000001,5378.0,29.4,48883.0,15592.0,1487.0,27.65,3.42
121600,Sun Valley,34.211448,-118.409348,2542.0,45.1,78750.0,33899.0,198.0,7.79,2.12
121801,Sun Valley,34.21209,-118.39214950000002,2999.0,36.3,34628.0,17078.0,627.0,20.91,4.43
121802,Sun Valley,34.219592,-118.39214,3249.0,36.2,64293.0,17727.0,654.0,20.13,2.71
121900,Sun Valley,34.2176405,-118.3816355,3657.0,35.1,52708.0,20688.0,760.0,20.78,2.0
122000,Sun Valley,34.217158500000004,-118.41837949999999,6287.0,38.6,72715.0,26227.0,541.0,8.61,4.25
122120,Sun Valley,34.21116,-118.371144,4616.0,31.7,54722.0,17973.0,941.0,20.39,3.83
122121,Sun Valley,34.2138845,-118.3714175,2593.0,37.2,49318.0,17466.0,324.0,12.5,2.51
122122,Sun Valley,34.220949,-118.3717735,2652.0,30.3,40156.0,13275.0,513.0,19.34,2.45
122200,Sun Valley,34.214391,-118.3596165,3739.0,34.8,58818.0,18460.0,598.0,15.99,2.97
122410,Sun Valley,34.204063,-118.3921485,3588.0,31.2,31397.0,15416.0,1070.0,29.82,4.79
122420,Sun Valley,34.203194,-118.3834125,4381.0,34.5,42000.0,21489.0,600.0,13.7,3.56
123010,Sun Valley,34.202326,-118.374682,3959.0,30.6,32768.0,14352.0,1226.0,30.97,2.05
123020,Sun Valley,34.2048255,-118.366247,3343.0,34.1,51042.0,19841.0,688.0,20.58,3.32
123103,North Hollywood,34.1906295,-118.365029,3883.0,34.4,45000.0,26706.0,828.0,21.32,2.63
123104,North Hollywood,34.183057,-118.364585,4537.0,36.9,43012.0,22632.0,869.0,19.15,3.06
123203,North Hollywood,34.195833,-118.392147,3880.0,29.1,39454.0,15263.0,1027.0,26.47,3.69
123204,North Hollywood,34.193936,-118.39433000000001,3004.0,32.8,39970.0,18407.0,829.0,27.6,4.96
123205,North Hollywood,34.194979,-118.38341299999999,2615.0,32.9,46295.0,19278.0,518.0,19.81,1.34
123206,North Hollywood,34.1941185,-118.3746795,2638.0,36.3,34458.0,19793.0,691.0,26.19,3.11
123301,North Hollywood,34.199391999999996,-118.401141,4356.0,35.2,60144.0,28152.0,703.0,16.14,4.73
123303,Valley Glen,34.1975515,-118.411425,2987.0,36.6,40700.0,19624.0,690.0,23.1,5.89
123304,Valley Glen,34.19712,-118.40563049999999,4348.0,37.4,37935.0,21018.0,1304.0,29.99,4.71
123410,Valley Glen,34.197565000000004,-118.4224435,4249.0,36.3,52500.0,21763.0,1063.0,25.02,3.46
123420,Valley Glen,34.1939335,-118.418128,4359.0,35.3,43290.0,20256.0,856.0,19.64,2.96
123510,Valley Glen,34.195752,-118.4268885,4913.0,38.7,47292.0,21977.0,1010.0,20.56,4.21
123520,Valley Glen,34.190302,-118.4244185,2888.0,33.1,53098.0,23355.0,450.0,15.58,5.54
123601,Valley Glen,34.177484,-118.41783400000001,4741.0,39.8,54283.0,31137.0,728.0,15.36,4.47
123602,Valley Glen,34.1794765,-118.42688000000001,3664.0,40.7,55641.0,30803.0,518.0,14.14,3.0
123700,Valley Glen,34.184859,-118.409517,4338.0,41.0,66726.0,28842.0,464.0,10.7,2.4
123800,Valley Glen,34.181224,-118.400846,6150.0,39.0,63333.0,35337.0,1097.0,17.84,2.29
123901,North Hollywood,34.184858500000004,-118.394806,4374.0,36.3,50132.0,24496.0,845.0,19.32,3.86
123902,North Hollywood,34.176766,-118.39213649999999,2499.0,41.4,65977.0,35610.0,315.0,12.61,5.32
124000,Valley Village,34.162959,-118.40481650000001,5131.0,39.6,84201.0,46493.0,345.0,6.72,5.5
124102,North Hollywood,34.175783,-118.383398,3542.0,32.6,46723.0,26616.0,745.0,21.03,0.96
124103,North Hollywood,34.1884915,-118.3834125,1983.0,32.8,41702.0,19026.0,205.0,10.34,2.92
124104,North Hollywood,34.1848615,-118.38340900000001,2444.0,32.1,39083.0,21795.0,392.0,16.04,4.71
124105,North Hollywood,34.181228999999995,-118.38340500000001,2462.0,31.9,44177.0,23046.0,414.0,16.82,3.74
124201,North Hollywood,34.1848665,-118.374674,3435.0,40.4,52917.0,24142.0,565.0,16.45,6.72
124203,North Hollywood,34.177602,-118.37466450000001,2537.0,35.7,48750.0,23169.0,463.0,18.25,2.8
124204,North Hollywood,34.173973499999995,-118.3746565,2152.0,40.5,48041.0,25712.0,512.0,23.79,7.76
124300,North Hollywood,34.175793,-118.36403,3026.0,35.7,42643.0,23633.0,424.0,14.01,2.41
