Census Tract,Neighborhood,Latitude,Longitude
216900,Mid-City,34.0504795,-118.36321
217001,Pico-Robertson,34.0519395,-118.3873275
217002,Pico-Robertson,34.049649,-118.381096
217100,Mid-Wilshire,34.049342,-118.354404
217200,Mid-Wilshire,34.049375,-118.3418365
218110,Arlington Heights,34.044154,-118.3286425
218120,Arlington Heights,34.0436875,-118.320626
218210,Mid-City,34.043303,-118.3422655
218220,Mid-City,34.043498,-118.334779
218300,Mid-City,34.041276,-118.3549225
218400,Mid-City,34.037613,-118.3607045
218500,Mid-City,34.0375635,-118.3505565
218600,Mid-City,34.037184,-118.3427065
218701,Mid-City,34.0372715,-118.333362
218702,West Adams,34.0327605,-118.335031
218800,Arlington Heights,34.037556,-118.323034
218900,Jefferson Park,34.0331165,-118.3238185
219010,Jefferson Park,34.027596,-118.322938
219020,Jefferson Park,34.021941,-118.3229865
219300,Jefferson Park,34.026962,-118.3316675
219500,Baldwin Hills/Crenshaw,34.0211635,-118.3405655
219700,West Adams,34.028076,-118.347852
219800,West Adams,34.0298385,-118.354579
219901,West Adams,34.0297025,-118.3604535
219902,West Adams,34.0305455,-118.36963
220000,West Adams,34.0276275,-118.3405665
220100,Baldwin Hills/Crenshaw,34.0241755,-118.3664325
221110,Pico-Union,34.0455315,-118.2878625
221120,Pico-Union,34.042054,-118.2878455
221210,Harvard Heights,34.04359,-118.3026265
221220,Pico-Union,34.0436145,-118.2961455
221302,Harvard Heights,34.0417465,-118.3114895
221303,Harvard Heights,34.0453825,-118.308407
221304,Arlington Heights,34.045369,-118.314651
221401,Jefferson Park,34.0339245,-118.3133125
221402,Harvard Heights,34.038279,-118.308985
221500,Adams-Normandie,34.034856,-118.3046185
221601,Adams-Normandie,34.034833,-118.2959055
221602,Pico-Union,34.038415,-118.292179
221710,University Park,34.034366,-118.287757
221810,Adams-Normandie,34.0305765,-118.292359
221820,University Park,34.0305755,-118.286386
221900,University Park,34.0260705,-118.289757
222001,Jefferson Park,34.0282015,-118.3132745
222002,Exposition Park,34.0218995,-118.3135615
222100,Adams-Normandie,34.027317,-118.3024105
222200,Adams-Normandie,34.0309165,-118.302424
222500,Exposition Park,34.021865,-118.3045305
222600,Exposition Park,34.0218365,-118.2958795
222700,University Park,34.020537,-118.2847645
224010,Downtown,34.036945,-118.2655625
224020,Historic South-Central,34.030734,-118.267245
224200,Pico-Union,34.041032,-118.277298
224310,Pico-Union,34.043569,-118.2820315
224320,Pico-Union,34.041517,-118.2804885
224410,University Park,34.0343195,-118.2789565
224420,University Park,34.0318675,-118.2778715
224600,Historic South-Central,34.0223275,-118.2717135
224700,University Park,34.0263755,-118.279223
226001,Historic South-Central,34.0245655,-118.251001
226002,Downtown,34.033429,-118.249304
226410,Historic South-Central,34.0242035,-118.2622875
226420,Historic South-Central,34.021775,-118.2569205
226700,Historic South-Central,34.017615,-118.2623795
227010,Central-Alameda,34.018875,-118.247064
227020,Central-Alameda,34.0161415,-118.2516245
228100,Central-Alameda,34.010118,-118.244922
228210,Central-Alameda,34.010168,-118.2525945
228220,Central-Alameda,34.0065835,-118.2519225
228310,Historic South-Central,34.011872,-118.262852
228320,Historic South-Central,34.007893,-118.263681
228410,Historic South-Central,34.014163,-118.2690345
228420,Historic South-Central,34.00749,-118.270975
228500,South Park,34.003629,-118.2695985
228600,South Park,34.003674,-118.260853
228710,Central-Alameda,33.9993805,-118.2542925
228720,Central-Alameda,33.9993695,-118.2499415
228800,Central-Alameda,33.999104,-118.2430855
228900,Central-Alameda,33.992114,-118.242838
229100,Central-Alameda,33.992164,-118.2520985
229200,South Park,33.99828,-118.260835
229300,South Park,33.998151,-118.269586
229410,South Park,33.9922445,-118.2695665
229420,South Park,33.9925325,-118.2608205
231100,Historic South-Central,34.016069,-118.2760825
231210,Exposition Park,34.014521,-118.2980095
231220,Exposition Park,34.014515,-118.28932
231300,Exposition Park,34.0145435,-118.304539
231400,Exposition Park,34.014552,-118.312994
231500,Vermont Square,34.0072765,-118.310826
231600,Vermont Square,34.00727,-118.2980435
231710,Vermont Square,34.007373,-118.2893345
231720,Vermont Square,34.007429,-118.2840635
231800,Historic South-Central,34.0074525,-118.27748
231900,South Park,33.9996995,-118.277466
232110,Vermont Square,33.9994895,-118.2893225
232120,Vermont Square,33.9997375,-118.28378
232200,Vermont Square,34.0016535,-118.2980375
232300,Vermont Square,33.9975775,-118.29803
232400,Vermont Square,33.999376,-118.310834
232500,Chesterfield Square,33.992088,-118.3107815
232600,Vermont-Slauson,33.9920885,-118.298021
232700,Vermont-Slauson,33.992427,-118.285947
232800,South Park,33.9924525,-118.2771805
234000,Leimert Park,34.011672,-118.322292
234200,Leimert Park,34.016776,-118.331087
234300,Leimert Park,34.007159,-118.3293635
234501,Hyde Park,33.997504,-118.3246435
234502,Hyde Park,34.001849,-118.32479
234600,Hyde Park,33.9926585,-118.327201
234700,Hyde Park,33.987231,-118.327693
234800,Hyde Park,33.9818325,-118.3220865
234901,Hyde Park,33.981784,-118.328655
234902,Hyde Park,33.981753,-118.3346945
235100,Hyde Park,33.9855355,-118.348147
235201,Hyde Park,33.9744985,-118.322127
235202,Hyde Park,33.972711,-118.3308415
236000,Ladera Heights,34.009386,-118.367527
236100,Baldwin Hills/Crenshaw,34.0120535,-118.3418225
236202,Baldwin Hills/Crenshaw,34.0167105,-118.352691
236203,Baldwin Hills/Crenshaw,34.0176365,-118.347316
236204,Baldwin Hills/Crenshaw,34.014877,-118.349074
236400,Baldwin Hills/Crenshaw,34.0049835,-118.349179
237101,Vermont-Slauson,33.9855155,-118.291439
237102,Vermont-Slauson,33.9856665,-118.283741
237201,Vermont-Slauson,33.985727,-118.299118
237202,Chesterfield Square,33.985482,-118.310035
237300,Chesterfield Square,33.978464,-118.3111655
237401,Vermont-Slauson,33.9784655,-118.2947775
237402,Harvard Park,33.978462,-118.3013325
237500,Vermont-Slauson,33.978414,-118.289297
237600,Vermont-Slauson,33.978508,-118.283801
237710,Vermont Knolls,33.972693,-118.28613
237720,Vermont Knolls,33.9692975,-118.286182
237800,Vermont Knolls,33.9709525,-118.298091
237900,Manchester Square,33.970932,-118.311186
238000,Gramercy Park,33.945472,-118.3089905
238100,Manchester Square,33.963625,-118.3111985
238200,Vermont Knolls,33.963641,-118.2981045
238310,Vermont Knolls,33.9660195,-118.2861825
238320,Vermont Knolls,33.962152,-118.2861365
238400,Gramercy Park,33.956361,-118.309005
239201,Florence,33.9857845,-118.277227
239202,Florence,33.985588,-118.265182
239310,Florence,33.9785445,-118.27732
239320,Florence,33.978568,-118.2717375
239330,Florence,33.9785785,-118.262973
239501,Florence,33.9729715,-118.2629705
239502,Florence,33.9693555,-118.262964
239601,Florence,33.972754,-118.2751255
239602,Florence,33.9695945,-118.2751195
239701,Florence,33.9660325,-118.2751155
239702,Florence,33.96229,-118.275105
239801,Florence,33.96606,-118.2629565
239802,Florence,33.962406,-118.2629525
240010,Green Meadows,33.9583205,-118.263794
240020,Green Meadows,33.954224,-118.263804
240200,Broadway-Manchester,33.9559485,-118.2761875
240300,Vermont Vista,33.9564355,-118.2859575
240401,Vermont Vista,33.949905,-118.2854905
240402,Vermont Vista,33.9445585,-118.285496
240500,Broadway-Manchester,33.9469185,-118.275892
240600,Green Meadows,33.946958,-118.2683925
240700,Green Meadows,33.947574,-118.2593445
240800,Green Meadows,33.9385955,-118.261821
240900,Green Meadows,33.9348825,-118.261859
241001,Green Meadows,33.929254,-118.2671865
241002,Green Meadows,33.925538,-118.2615615
241110,Broadway-Manchester,33.936481,-118.271695
241120,Broadway-Manchester,33.9364705,-118.276946
241201,Vermont Vista,33.9402795,-118.2857015
241202,Vermont Vista,33.9333785,-118.2856645
241300,Vermont Vista,33.926092,-118.2860545
241400,Broadway-Manchester,33.925504,-118.275396
242000,Watts,33.9392665,-118.250222
242100,Florence-Firestone,33.945696,-118.2321075
242200,Watts,33.948204,-118.238625
242300,Watts,33.948744,-118.246174
242600,Watts,33.932497,-118.2502625
242700,Watts,33.9363625,-118.242647
243000,Watts,33.938704,-118.2338885
243100,Watts,33.933448,-118.234588
261101,Beverly Hills,34.110602,-118.395214
261102,Beverly Crest,34.1110565,-118.422746
261200,Beverly Crest,34.108261,-118.4432895
262100,Beverly Crest,34.1022655,-118.445475
262200,Bel-Air,34.1015635,-118.468744
262301,Brentwood,34.10129,-118.494583
262302,Brentwood,34.0753195,-118.477468
262303,Brentwood,34.0673175,-118.486919
262400,Brentwood,34.0876735,-118.5072195
262501,Pacific Palisades,34.049658,-118.5202905
262601,Pacific Palisades,34.073806,-118.5567815
262604,Pacific Palisades,34.05192037,-118.5490685
262704,Pacific Palisades,34.0424942,-118.5425851
262706,Pacific Palisades,34.03867557,-118.5269907
262802,Pacific Palisades,34.0430379,-118.5061199
264000,Brentwood,34.0560275,-118.4819375
264102,Brentwood,34.059953,-118.4686465
264103,Brentwood,34.0553735,-118.466128
264301,Brentwood,34.0503875,-118.464617
264302,Brentwood,34.046932,-118.477869
265100,Westwood,34.073502,-118.42787
265201,Westwood,34.067255,-118.4366455
265202,Westwood,34.0617355,-118.4410225
265301,Westwood,34.0709425,-118.4463495
265303,Westwood,34.067264,-118.4533525
265304,Westwood,34.0674805,-118.451101
265305,Westwood,34.0631275,-118.4493085
265410,Brentwood,34.06678,-118.4636105
265420,Westwood,34.070607,-118.4605875
265510,Westwood,34.056185,-118.443321
265520,Westwood,34.0513145,-118.4415325
265601,Westwood,34.0558665,-118.433093
265602,Westwood,34.060621,-118.434347
265700,Westwood,34.0618485,-118.423284
267100,West Los Angeles,34.052737,-118.4245685
267200,West Los Angeles,34.0453165,-118.4373595
267300,Sawtelle,34.045239,-118.449709
267402,Sawtelle,34.042643,-118.465557
267403,Sawtelle,34.047607,-118.4565715
267404,Sawtelle,34.0456605,-118.460472
267501,Sawtelle,34.041347,-118.456076
267502,Sawtelle,34.0373665,-118.4626315
267600,Sawtelle,34.034536,-118.4525605
267700,Sawtelle,34.0387565,-118.444387
267800,West Los Angeles,34.0404165,-118.430463
267901,Century City,34.0567325,-118.413721
267902,West Los Angeles,34.047558,-118.4201495
269000,Cheviot Hills,34.043327,-118.4043575
269100,Pico-Robertson,34.0528745,-118.3952305
269300,Cheviot Hills,34.0402885,-118.414036
269500,Beverlywood,34.0419315,-118.3933555
269601,Mid-City,34.041783,-118.379673
269602,Mid-City,34.043301,-118.384325
269700,Mid-City,34.036058,-118.3859215
269800,Palms,34.0330585,-118.3968355
269903,Palms,34.020876,-118.4064875
269904,Palms,34.0274735,-118.4121435
269905,Palms,34.0217235,-118.4015665
269906,Palms,34.025156,-118.403135
269907,Palms,34.0277405,-118.4066145
270100,Palms,34.026374,-118.395677
270200,Mid-City,34.0329455,-118.380005
270300,Mid-City,34.039747,-118.3704125
271100,Rancho Park,34.034177,-118.427171
271200,Sawtelle,34.031579,-118.4431825
271300,Sawtelle,34.023895,-118.4412965
271400,Mar Vista,34.010017,-118.4474055
271500,Mar Vista,34.01663,-118.4375635
271600,Mar Vista,34.0213795,-118.4310805
271701,Palms,34.0262225,-118.419751
271702,Palms,34.025252,-118.426283
271801,Palms,34.0166435,-118.4181365
271802,Palms,34.0200095,-118.4125875
271901,Mar Vista,34.0137065,-118.424224
271902,Mar Vista,34.009731,-118.4316705
272100,Mar Vista,34.0038595,-118.4422725
272201,Mar Vista,34.000385,-118.434124
272202,Mar Vista,33.9974645,-118.439035
272301,Mar Vista,34.0044305,-118.4228455
272302,Mar Vista,34.0022415,-118.4275865
273100,Venice,34.00358,-118.460606
273200,Venice,33.99686,-118.4672375
273300,Venice,33.9956475,-118.472047
273402,Venice,33.99279828,-118.4770569
273502,Venice,33.98764338,-118.4696387
273600,Venice,33.993484,-118.459266
273700,Venice,33.99869,-118.452731
273800,Venice,33.9935715,-118.4512505
273902,Venice,33.98377459,-118.4640606
274100,Venice,33.9883695,-118.450146
274202,Venice,33.97183937,-118.4601234
275101,Del Rey,33.99916,-118.4045585
275102,Del Rey,33.9978895,-118.4109765
275200,Del Rey,33.9953035,-118.4216305
275302,Del Rey,33.9825085,-118.4328715
275311,Del Rey,33.9886515,-118.4224605
275400,Del Rey,33.9906355,-118.4389485
275500,Del Rey,33.9923405,-118.4142945
275602,Playa Vista,33.9755865,-118.414947
275603,Playa Vista,33.986639,-118.405224
276000,Westchester,33.9702295,-118.386834
276100,Westchester,33.975517,-118.372532
276400,Westchester,33.967988,-118.4089775
276500,Westchester,33.967159,-118.4197785
276601,Westchester,33.9657265,-118.432256
276603,Playa del Rey,33.9562775,-118.437016
276604,Westchester,33.9567545,-118.4244035
277000,Westchester,33.9712845,-118.4009375
277100,Westchester,33.9660065,-118.37815
277200,Westchester,33.952729,-118.381902
277400,Westchester,33.949046,-118.3743515
278001,Westchester,33.955837,-118.4023185
278102,Playa del Rey,33.96269392,-118.4444466
291110,Harbor Gateway,33.920071,-118.2864
291120,Harbor Gateway,33.9127895,-118.286915
291130,Harbor Gateway,33.901689,-118.287002
291210,Harbor Gateway,33.8892885,-118.287175
291220,Harbor Gateway,33.8771105,-118.2864455
291300,Gardena,33.8659415,-118.295352
292000,Harbor Gateway,33.847758,-118.297202
293201,Harbor Gateway,33.831492,-118.3041515
293202,Harbor Gateway,33.8194175,-118.303755
293301,Harbor City,33.8102215,-118.303639
293302,Harbor City,33.802382,-118.304171
293304,Harbor City,33.792616,-118.3043215
293306,Harbor City,33.7829565,-118.303708
293307,Harbor City,33.786479,-118.3043115
294110,Wilmington,33.797961,-118.2592835
294120,Wilmington,33.795656,-118.2471535
294200,Wilmington,33.794846,-118.269301
294301,Wilmington,33.794497,-118.2807785
294302,Wilmington,33.7848645,-118.2793115
294410,Harbor City,33.794186,-118.288934
294421,Harbor City,33.7894135,-118.2958265
294510,Wilmington,33.7865645,-118.271704
294520,Wilmington,33.7868625,-118.2657205
294610,Wilmington,33.787242,-118.2581725
294620,Wilmington,33.78725,-118.2472725
294701,Wilmington,33.7766155,-118.25296
294810,Wilmington,33.779492,-118.271558
294820,Wilmington,33.779804,-118.2655705
294830,Wilmington,33.772277,-118.2673985
294900,Wilmington,33.773417,-118.2779635
295103,San Pedro,33.760268,-118.2968435
296210,San Pedro,33.748135,-118.283727
296220,San Pedro,33.74101,-118.2837425
296300,San Pedro,33.7536825,-118.300135
296401,San Pedro,33.7417575,-118.3143515
296402,San Pedro,33.7455135,-118.303183
296500,San Pedro,33.7480855,-118.2929285
296600,San Pedro,33.739883,-118.292314
296901,San Pedro,33.730163,-118.2945655
296902,San Pedro,33.7351435,-118.2945475
297000,San Pedro,33.7324785,-118.310758
297110,San Pedro,33.7346615,-118.284188
297120,San Pedro,33.727169,-118.284224
297201,San Pedro,33.7247115,-118.2912825
297202,San Pedro,33.724736,-118.299008
297300,San Pedro,33.72072214,-118.3123083
297400,San Pedro,33.7262015,-118.3220603
297500,San Pedro,33.713354,-118.3018828
297601,San Pedro,33.71456779,-118.2879352
297602,San Pedro,33.7162305,-118.2903905
300100,La Crescenta-Montrose,34.240611,-118.235107
300200,La Crescenta-Montrose,34.228725,-118.237835
300301,Glendale,34.248378,-118.2527395
300400,Glendale,34.228257,-118.25731
300501,La Crescenta-Montrose,34.2212985,-118.239588
300502,La Crescenta-Montrose,34.2117495,-118.225292
300600,Glendale,34.2067165,-118.2368375
300701,Glendale,34.202483,-118.2588315
300702,Glendale,34.1907305,-118.2577215
300800,Glendale,34.1850915,-118.219529
300901,Glendale,34.1693925,-118.206797
300902,Glendale,34.155939,-118.203587
301000,Glendale,34.1564305,-118.2329335
301100,Glendale,34.1621815,-118.2441095
301203,Glendale,34.1663435,-118.260688
301204,Glendale,34.161447,-118.2600185
301205,Glendale,34.1683765,-118.2729275
301206,Glendale,34.1633575,-118.2727315
301300,Glendale,34.176451,-118.2701125
301400,Glendale,34.1814725,-118.284689
301501,Glendale,34.17504,-118.2872505
301502,Glendale,34.172168,-118.2889385
301601,Glendale,34.1645725,-118.2882305
301602,Glendale,34.161795,-118.2986075
301701,Glendale,34.1593295,-118.273437
301702,Glendale,34.151432,-118.2700705
301801,Glendale,34.155471,-118.2598255
301802,Glendale,34.1490075,-118.259807
301900,Glendale,34.1558135,-118.2458445
302002,Glendale,34.1490325,-118.24991
302003,Glendale,34.149023,-118.244479
302004,Glendale,34.1489615,-118.2384145
302102,Glassell Park,34.133249,-118.23492
