ZIP Code,Studio,City,Location
90005,Body & Brain Yoga Tai Chi - Wilshire,Los Angeles,"34.05907052600003, -118.30301712299996"
90046,Devon Young Yoga,Los Angeles,"34.097150154000076, -118.35826821299997"
90403,Manuela Schoepfer,Santa Monica,"34.02842085700007, -118.49353692399995"
90064,Daily Therapy,Los Angeles,"34.03541197100003, -118.43217675599999"
90036,Cassie Cherney Yoga,Los Angeles,"34.06892065300008, -118.35080783799998"
90036,Mary Shore Yoga Center,Los Angeles,"34.06892065300008, -118.35080783799998"
90039,Lauren Finerman Holistic Wellness & Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90069,The Chad Allen Method,West Hollywood,"34.08940300900008, -118.37978902499998"
91106,Conscious Compassion,Pasadena,"34.14286395700003, -118.12849997699999"
91506,Body & Brain Yoga Tai Chi - Burbank,Burbank,"34.17111083700007, -118.32257833699998"
90012,Fire Hot Yoga and Ice Cryotherapy,Los Angeles,"34.05948330100006, -118.24204800499996"
91604,Studio City Martial Arts,Studio City,"34.144462919000034, -118.39427961799998"
90291,One Infinity Healing,Venice,"33.99258325100004, -118.46637629399999"
90066,Anahata Conscious Living,Los Angeles,"34.00215095400006, -118.42903966199998"
91423,Julia Carpenter Yoga & Reiki,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90046,Life Yoga Garden,Los Angeles,"34.097150154000076, -118.35826821299997"
90026,Passion 4 Health & Wellness,Los Angeles,"34.07687201300007, -118.26535895999996"
90039,Healing Rae,Los Angeles,"34.11160164200004, -118.26125727499999"
90046,YogaWorks West Hollywood,Los Angeles,"34.097150154000076, -118.35826821299997"
90036,LA Fitness,Los Angeles,"34.06892065300008, -118.35080783799998"
91316,East Inspirations,Encino,"34.16673107200006, -118.51629606299997"
91107,Awareness Center,Pasadena,"34.150763177000044, -118.09228870099997"
90027,Ashtanga Yoga Nilayam,Los Angeles,"34.10546214900006, -118.29236751399998"
90046,Stellayoga,Los Angeles,"34.097150154000076, -118.35826821299997"
90026,Hypnotherapy with Thea Pueschel,Los Angeles,"34.07687201300007, -118.26535895999996"
90026,Laura Riley - Private Yoga Instruction,Los Angeles,"34.07687201300007, -118.26535895999996"
90038,Alex Diehl - Private Yoga Instructor,Los Angeles,"34.088981543000045, -118.32483773999996"
90028,YogaWorks Los Feliz,Los Angeles,"34.10072174800007, -118.32821815499994"
91423,Wellborn Lifestyles,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90028,Moksha Marga - Yogi Shyamasundara,Los Angeles,"34.10072174800007, -118.32821815499994"
90057,Laura VanDenBergh,Los Angeles,"34.06211202900005, -118.27713826999997"
90017,LA Fitness,Los Angeles,"34.05230100700004, -118.26338632699998"
90026,"Caitlin Dee, CMT",Los Angeles,"34.07687201300007, -118.26535895999996"
91601,Rooted Rasa,North Hollywood,"34.16713081200004, -118.37252852099999"
91789,Jupiter Soundscape,Walnut,"34.01633305100006, -117.85816676999997"
90211,Brightly Balanced With Andrea,Beverly Hills,"34.06566189900008, -118.38146619699995"
90057,New Moon Movement,Los Angeles,"34.06211202900005, -118.27713826999997"
91423,Clean Prana,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90001,Jason Gorenstein Integrative Wellness,Los Angeles,"33.973274047000075, -118.24896959899996"
9029,Wholly Welcome,Topanga,"34.10128225400007, -118.60494720999998"
90027,Busy Bee Wellness,Los Angeles,"34.10546214900006, -118.29236751399998"
90013,MOSA Yoga and Massage,Los Angeles,"34.04602247400004, -118.24624962599995"
90069,Leo Zen Yoga - Yoga on the Sunset Strip,West Hollywood,"34.08940300900008, -118.37978902499998"
90803,Go Inward,Long Beach,"33.76151151400006, -118.13748979299999"
90068,101 Dance Center,Los Angeles,"34.11525144700005, -118.33141607899995"
90036,Dancing Shiva Yoga & Ayurveda,Los Angeles,"34.06892065300008, -118.35080783799998"
91505,A1 Pilates,Burbank,"34.167673938000064, -118.34449888999995"
90066,The Gym Venice,Los Angeles,"34.00215095400006, -118.42903966199998"
91602,Shosha Yoga,North Hollywood,"34.15134106200003, -118.36907858599994"
9002,Toe Toe Ballet,Los Angeles,"34.06636144500004, -118.30164844599994"
90065,Seishin Karate Dojo,Los Angeles,"34.10881214900007, -118.22766603699995"
90046,H.E.A.L. Spiritual Center,Los Angeles,"34.097150154000076, -118.35826821299997"
90066,Kristin Epley Active Care,Los Angeles,"34.00215095400006, -118.42903966199998"
91505,Yoga Galactica,Burbank,"34.167673938000064, -118.34449888999995"
91602,Light Leaders Yoga,North Hollywood,"34.15134106200003, -118.36907858599994"
90036,Private Yoga West Hollywood,Los Angeles,"34.06892065300008, -118.35080783799998"
90069,Purefit Wellness LA,West Hollywood,"34.08940300900008, -118.37978902499998"
90291,YogaMusic,Venice,"33.99258325100004, -118.46637629399999"
91604,Soulful Healing,Studio City,"34.144462919000034, -118.39427961799998"
90057,Kali Punk Yoga,Los Angeles,"34.06211202900005, -118.27713826999997"
9029,Marcia Paige Hamelin,Topanga,"34.10128225400007, -118.60494720999998"
90068,Unstoppable Greatness,Los Angeles,"34.11525144700005, -118.33141607899995"
90019,Rainbeau Mars Lifestyles,Los Angeles,"34.04884238300008, -118.33610868499994"
91423,Studio C Pilates & Fitness,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90069,Zen Casa,West Hollywood,"34.08940300900008, -118.37978902499998"
90004,Larchmont Meditate,Los Angeles,"34.075720587000035, -118.30301712299996"
